Month;USA
01.01.1991;100
01.02.1991;100,48
01.03.1991;100,49
01.04.1991;100,33
01.05.1991;100,39
01.06.1991;100,54
01.07.1991;100,55
01.08.1991;100,38
01.09.1991;100,63
01.10.1991;100,93
01.11.1991;101,44
01.12.1991;101,89
01.01.1992;102,25
01.02.1992;103
01.03.1992;102,81
01.04.1992;102,56
01.05.1992;102,61
01.06.1992;102,55
01.07.1992;102,89
01.08.1992;103,36
01.09.1992;103,74
01.10.1992;104,05
01.11.1992;104,32
01.12.1992;104,24
01.01.1993;104,3
01.02.1993;104,1
01.03.1993;104,4
01.04.1993;105,07
01.05.1993;105,28
01.06.1993;105,67
01.07.1993;105,69
01.08.1993;106,1
01.09.1993;106,46
01.10.1993;106,73
01.11.1993;107,02
01.12.1993;107,56
01.01.1994;107,8
01.02.1994;108,05
01.03.1994;108,4
01.04.1994;108,74
01.05.1994;109,11
01.06.1994;109,32
01.07.1994;109,4
01.08.1994;109,65
01.09.1994;109,78
01.10.1994;110,02
01.11.1994;110,28
01.12.1994;110,28
01.01.1995;110,6
01.02.1995;111,16
01.03.1995;111,05
01.04.1995;111,29
01.05.1995;111,41
01.06.1995;111,8
01.07.1995;112,33
01.08.1995;112,62
01.09.1995;112,86
01.10.1995;112,91
01.11.1995;113,13
01.12.1995;113,6
01.01.1996;114,04
01.02.1996;114,18
01.03.1996;114,59
01.04.1996;114,88
01.05.1996;115,14
01.06.1996;115,26
01.07.1996;115,65
01.08.1996;115,65
01.09.1996;115,93
01.10.1996;116,05
01.11.1996;116,38
01.12.1996;116,71
01.01.1997;116,87
01.02.1997;117,16
01.03.1997;117,65
01.04.1997;117,85
01.05.1997;118,3
01.06.1997;118,34
01.07.1997;118,65
01.08.1997;119,09
01.09.1997;119,24
01.10.1997;119,86
01.11.1997;120,25
01.12.1997;120,64
01.01.1998;121,1
01.02.1998;121,95
01.03.1998;122,36
01.04.1998;122,91
01.05.1998;123,41
01.06.1998;124,2
01.07.1998;124,5
01.08.1998;125,03
01.09.1998;125,82
01.10.1998;126,36
01.11.1998;127,21
01.12.1998;127,77
01.01.1999;128,52
01.02.1999;129,03
01.03.1999;129,59
01.04.1999;130,24
01.05.1999;131,01
01.06.1999;131,62
01.07.1999;132,36
01.08.1999;133,17
01.09.1999;133,54
01.10.1999;134,36
01.11.1999;134,9
01.12.1999;135,56
01.01.2000;137,2
01.02.2000;136,97
01.03.2000;138,03
01.04.2000;138,99
01.05.2000;139,61
01.06.2000;140,53
01.07.2000;141,27
01.08.2000;141,82
01.09.2000;142,72
01.10.2000;143,48
01.11.2000;144,36
01.12.2000;145,22
01.01.2001;146,15
01.02.2001;147,15
01.03.2001;147,93
01.04.2001;148,79
01.05.2001;149,48
01.06.2001;150,18
01.07.2001;151,03
01.08.2001;151,74
01.09.2001;152,54
01.10.2001;153,46
01.11.2001;153,95
01.12.2001;154,93
01.01.2002;155,85
01.02.2002;156,73
01.03.2002;157,74
01.04.2002;158,57
01.05.2002;159,66
01.06.2002;160,66
01.07.2002;161,68
01.08.2002;162,7
01.09.2002;163,72
01.10.2002;164,85
01.11.2002;165,81
01.12.2002;167
01.01.2003;168,07
01.02.2003;169,09
01.03.2003;169,64
01.04.2003;170,68
01.05.2003;171,64
01.06.2003;172,44
01.07.2003;173,74
01.08.2003;174,97
01.09.2003;176,41
01.10.2003;177,46
01.11.2003;178,84
01.12.2003;180,35
01.01.2004;181,55
01.02.2004;182,86
01.03.2004;184,19
01.04.2004;185,73
01.05.2004;187,5
01.06.2004;189,41
01.07.2004;190,98
01.08.2004;192,35
01.09.2004;193,87
01.10.2004;195,35
01.11.2004;197,1
01.12.2004;198,82
01.01.2005;200,3
01.02.2005;201,66
01.03.2005;203,77
01.04.2005;205,56
01.05.2005;207,22
01.06.2005;209,05
01.07.2005;211,1
01.08.2005;212,64
01.09.2005;214,6
01.10.2005;215,75
01.11.2005;217,19
01.12.2005;218,49
01.01.2006;219,92
01.02.2006;220,33
01.03.2006;221,12
01.04.2006;221,57
01.05.2006;222,16
01.06.2006;222,18
01.07.2006;222,06
01.08.2006;222,66
01.09.2006;222,6
01.10.2006;222,79
01.11.2006;223,55
01.12.2006;223,65
01.01.2007;224,46
01.02.2007;224,43
01.03.2007;225,38
01.04.2007;225,43
01.05.2007;224,3
01.06.2007;223,48
01.07.2007;222,43
01.08.2007;221,34
01.09.2007;220,52
01.10.2007;218,67
01.11.2007;217,19
01.12.2007;216,07
01.01.2008;214,29
01.02.2008;212,92
01.03.2008;211,06
01.04.2008;208,8
01.05.2008;206,4
01.06.2008;205,13
01.07.2008;203,24
01.08.2008;201,15
01.09.2008;199,4
01.10.2008;197,68
01.11.2008;194,2
01.12.2008;193,67
01.01.2009;195,35
01.02.2009;195,63
01.03.2009;193,28
01.04.2009;192,02
01.05.2009;191,82
01.06.2009;191,69
01.07.2009;191,16
01.08.2009;190,87
01.09.2009;190,73
01.10.2009;191,02
01.11.2009;191,66
01.12.2009;189,78
01.01.2010;189,82
01.02.2010;189,05
01.03.2010;188,84
01.04.2010;189,06
01.05.2010;189,06
01.06.2010;187,16
01.07.2010;186,03
01.08.2010;185,8
01.09.2010;183,97
01.10.2010;184,32
01.11.2010;183,65
01.12.2010;182,37
01.01.2011;181,37
01.02.2011;179,64
01.03.2011;177,79
01.04.2011;178,16
01.05.2011;177,73
01.06.2011;178,31
01.07.2011;178,73
01.08.2011;178,16
01.09.2011;179,25
01.10.2011;178,27
01.11.2011;179,02
01.12.2011;179,63
01.01.2012;178,99
01.02.2012;179,29
01.03.2012;180,86
01.04.2012;181,83
01.05.2012;182,93
01.06.2012;183,67
01.07.2012;184,1
01.08.2012;185,28
01.09.2012;186
01.10.2012;186,94
01.11.2012;187,73
01.12.2012;188,73
01.01.2013;190,18
01.02.2013;191,35
01.03.2013;193,19
01.04.2013;194,28
01.05.2013;195,91
01.06.2013;197,02
01.07.2013;198,21
01.08.2013;198,78
01.09.2013;199,79
01.10.2013;200,4
01.11.2013;200,47
01.12.2013;201,63
01.01.2014;202,52
01.02.2014;203,37
01.03.2014;203,99
01.04.2014;204,64
01.05.2014;205,08
01.06.2014;206,2
01.07.2014;207
01.08.2014;207,76
01.09.2014;208
01.10.2014;209,24
01.11.2014;210,14
01.12.2014;211,56
01.01.2015;211,67
01.02.2015;213,46
01.03.2015;214,11
01.04.2015;214,84
01.05.2015;216,19
01.06.2015;217,04
01.07.2015;218,09
01.08.2015;218,48
01.09.2015;219,76
01.10.2015;220,9
01.11.2015;222,09
01.12.2015;222,94
01.01.2016;223,94
01.02.2016;224,41
01.03.2016;226,17
01.04.2016;227,11
01.05.2016;228,12
01.06.2016;229,41
01.07.2016;230,59
01.08.2016;231,6
01.09.2016;232,95
01.10.2016;234,2
01.11.2016;235,38
01.12.2016;236,71
01.01.2017;236,6
01.02.2017;238,31
01.03.2017;239,93
01.04.2017;241,79
01.05.2017;242,82
01.06.2017;243,82
01.07.2017;245,18
01.08.2017;246,83
01.09.2017;247,78
01.10.2017;249,06
01.11.2017;250,49
01.12.2017;251,71
01.01.2018;253,44
01.02.2018;255,61
01.03.2018;256,34
01.04.2018;257,26
01.05.2018;258,74
01.06.2018;259,89
01.07.2018;260,79
01.08.2018;262,19
01.09.2018;262,48
01.10.2018;263,58
01.11.2018;265,01
01.12.2018;265,88
01.01.2019;267,16
01.02.2019;268,47
01.03.2019;269,12
01.04.2019;270,91
01.05.2019;272,29
01.06.2019;272,98
01.07.2019;274,39
01.08.2019;274,65
01.09.2019;276,62
01.10.2019;278,09
01.11.2019;278,97
01.12.2019;281,36
01.01.2020;282,82
01.02.2020;285,47
01.03.2020;286,18
01.04.2020;286,79
01.05.2020;286,43
01.06.2020;289,53
01.07.2020;292,88
01.08.2020;297,47
01.09.2020;302,33
01.10.2020;306,67
01.11.2020;309,96
01.12.2020;313,57
01.01.2021;316,7
