Date;Close;AdjClose
Apr 08 2021;409717;409717
Apr 01 2021;407995;407995
Mar 01 2021;397289;397289
Feb 01 2021;381115;381115
Jan 01 2021;371424;371424
Dec 01 2020;375607;375607
Nov 01 2020;362163;362163
Oct 01 2020;326996;326996
Sep 01 2020;336300;336300
Aug 01 2020;350031;350031
Jul 01 2020;327112;327112
Jun 01 2020;310029;310029
May 01 2020;304431;304431
Apr 01 2020;291243;291243
Mar 01 2020;258459;258459
Feb 01 2020;295422;295422
Jan 01 2020;322552;322552
Dec 01 2019;323078;323078
Nov 01 2019;314098;314098
Oct 01 2019;303756;303756
Sep 01 2019;297674;297674
Aug 01 2019;292646;292646
Jul 01 2019;298038;298038
Jun 01 2019;294176;294176
May 01 2019;275206;275206
Apr 01 2019;294583;294583
Mar 01 2019;283440;283440
Feb 01 2019;278449;278449
Jan 01 2019;270410;270410
Dec 01 2018;250685;250685
Nov 01 2018;276017;276017
Oct 01 2018;271174;271174
Sep 01 2018;291398;291398
Aug 01 2018;290152;290152
Jul 01 2018;281629;281629
Jun 01 2018;271837;271837
May 01 2018;270527;270527
Apr 01 2018;264805;264805
Mar 01 2018;264087;264087
Feb 01 2018;271383;271383
Jan 01 2018;282381;282381
Dec 01 2017;267361;267361
Nov 01 2017;264758;264758
Oct 01 2017;257526;257526
Sep 01 2017;251936;251936
Aug 01 2017;247165;247165
Jul 01 2017;247030;247030
Jun 01 2017;242341;242341
May 01 2017;241180;241180
Apr 01 2017;238420;238420
Mar 01 2017;236272;236272
Feb 01 2017;236364;236364
Jan 01 2017;227887;227887
Dec 01 2016;223883;223883
Nov 01 2016;219881;219881
Oct 01 2016;212615;212615
Sep 01 2016;216827;216827
Aug 01 2016;217095;217095
Jul 01 2016;217360;217360
Jun 01 2016;209886;209886
May 01 2016;209695;209695
Apr 01 2016;206530;206530
Mar 01 2016;205974;205974
Feb 01 2016;193223;193223
Jan 01 2016;194024;194024
Dec 01 2015;204394;204394
Nov 01 2015;208041;208041
Oct 01 2015;207936;207936
Sep 01 2015;192003;192003
Aug 01 2015;197218;197218
Jul 01 2015;210384;210384
Jun 01 2015;206311;206311
May 01 2015;210739;210739
Apr 01 2015;208551;208551
Mar 01 2015;206789;206789
Feb 01 2015;210450;210450
Jan 01 2015;199499;199499
Dec 01 2014;205890;205890
Nov 01 2014;206756;206756
Oct 01 2014;201805;201805
Sep 01 2014;197229;197229
Aug 01 2014;200337;200337
Jul 01 2014;193067;193067
Jun 01 2014;196023;196023
May 01 2014;192357;192357
Apr 01 2014;188395;188395
Mar 01 2014;187234;187234
Feb 01 2014;185945;185945
Jan 01 2014;178259;178259
Dec 01 2013;184836;184836
Nov 01 2013;180581;180581
Oct 01 2013;175654;175654
Sep 01 2013;168155;168155
Aug 01 2013;163297;163297
Jul 01 2013;168573;168573
Jun 01 2013;160628;160628
May 01 2013;163074;163074
Apr 01 2013;159757;159757
Mar 01 2013;156919;156919
Feb 01 2013;151468;151468
Jan 01 2013;149811;149811
Dec 01 2012;142619;142619
Nov 01 2012;141618;141618
Oct 01 2012;141216;141216
Sep 01 2012;144067;144067
Aug 01 2012;140658;140658
Jul 01 2012;137932;137932
Jun 01 2012;136216;136216
May 01 2012;131033;131033
Apr 01 2012;139791;139791
Mar 01 2012;140847;140847
Feb 01 2012;136568;136568
Jan 01 2012;131241;131241
Dec 01 2011;125760;125760
Nov 01 2011;124696;124696
Oct 01 2011;125330;125330
Sep 01 2011;113142;113142
Aug 01 2011;121889;121889
Jul 01 2011;129228;129228
Jun 01 2011;132064;132064
May 01 2011;134520;134520
Apr 01 2011;136361;136361
Mar 01 2011;132583;132583
Feb 01 2011;132722;132722
Jan 01 2011;128612;128612
Dec 01 2010;125764;125764
Nov 01 2010;118055;118055
Oct 01 2010;118326;118326
Sep 01 2010;114120;114120
Aug 01 2010;104933;104933
Jul 01 2010;110160;110160
Jun 01 2010;103071;103071
May 01 2010;108941;108941
Apr 01 2010;118669;118669
Mar 01 2010;116943;116943
Feb 01 2010;110449;110449
Jan 01 2010;107387;107387
Dec 01 2009;111510;111510
Nov 01 2009;109563;109563
Oct 01 2009;103619;103619
Sep 01 2009;105708;105708
Aug 01 2009;102062;102062
Jul 01 2009;98748;98748
Jun 01 2009;91932;91932
May 01 2009;91914;91914
Apr 01 2009;87281;87281
Mar 01 2009;79787;79787
Feb 01 2009;73509;73509
Jan 01 2009;82588;82588
Dec 01 2008;90325;90325
Nov 01 2008;89624;89624
Oct 01 2008;96875;96875
Sep 01 2008;116636;116636
Aug 01 2008;128283;128283
Jul 01 2008;126738;126738
Jun 01 2008;128000;128000
May 01 2008;140038;140038
Apr 01 2008;138559;138559
Mar 01 2008;132270;132270
Feb 01 2008;133063;133063
Jan 01 2008;137855;137855
Dec 01 2007;146836;146836
Nov 01 2007;148114;148114
Oct 01 2007;154938;154938
Sep 01 2007;152675;152675
Aug 01 2007;147399;147399
Jul 01 2007;145527;145527
Jun 01 2007;150335;150335
May 01 2007;153062;153062
Apr 01 2007;148237;148237
Mar 01 2007;142086;142086
Feb 01 2007;140682;140682
Jan 01 2007;143824;143824
Dec 01 2006;141830;141830
Nov 01 2006;140063;140063
Oct 01 2006;137794;137794
Sep 01 2006;133585;133585
Aug 01 2006;130382;130382
Jul 01 2006;127666;127666
Jun 01 2006;127020;127020
May 01 2006;127009;127009
Apr 01 2006;131061;131061
Mar 01 2006;129487;129487
Feb 01 2006;128066;128066
Jan 01 2006;128008;128008
Dec 01 2005;124829;124829
Nov 01 2005;124948;124948
Oct 01 2005;120701;120701
Sep 01 2005;122881;122881
Aug 01 2005;122033;122033
Jul 01 2005;123418;123418
Jun 01 2005;119133;119133
May 01 2005;119150;119150
Apr 01 2005;115685;115685
Mar 01 2005;118059;118059
Feb 01 2005;120360;120360
Jan 01 2005;118127;118127
Dec 01 2004;121192;121192
Nov 01 2004;117382;117382
Oct 01 2004;113020;113020
Sep 01 2004;111458;111458
Aug 01 2004;110424;110424
Jul 01 2004;110172;110172
Jun 01 2004;114084;114084
May 01 2004;112068;112068
Apr 01 2004;110730;110730
Mar 01 2004;112621;112621
Feb 01 2004;114494;114494
Jan 01 2004;113113;113113
Dec 01 2003;111192;111192
Nov 01 2003;105820;105820
Oct 01 2003;105071;105071
Sep 01 2003;99597;99597
Aug 01 2003;100801;100801
Jul 01 2003;99031;99031
Jun 01 2003;97450;97450
May 01 2003;96359;96359
Apr 01 2003;91692;91692
Mar 01 2003;84818;84818
Feb 01 2003;84115;84115
Jan 01 2003;85570;85570
Dec 01 2002;87982;87982
Nov 01 2002;93631;93631
Oct 01 2002;88576;88576
Sep 01 2002;81528;81528
Aug 01 2002;91607;91607
Jul 01 2002;91162;91162
Jun 01 2002;98982;98982
May 01 2002;106714;106714
Apr 01 2002;107692;107692
Mar 01 2002;114739;114739
Feb 01 2002;110673;110673
Jan 01 2002;113020;113020
Dec 01 2001;114808;114808
Nov 01 2001;113945;113945
Oct 01 2001;105978;105978
Sep 01 2001;104094;104094
Aug 01 2001;113358;113358
Jul 01 2001;121123;121123
Jun 01 2001;122438;122438
May 01 2001;125582;125582
Apr 01 2001;124946;124946
Mar 01 2001;116033;116033
Feb 01 2001;123994;123994
Jan 01 2001;136601;136601
Dec 01 2000;132028;132028
Nov 01 2000;131495;131495
Oct 01 2000;142940;142940
Sep 01 2000;143651;143651
Aug 01 2000;151768;151768
Jul 01 2000;143083;143083
Jun 01 2000;145460;145460
May 01 2000;142060;142060
Apr 01 2000;145243;145243
Mar 01 2000;149858;149858
Feb 01 2000;136642;136642
Jan 01 2000;139446;139446
Dec 01 1999;146925;146925
Nov 01 1999;138891;138891
Oct 01 1999;136293;136293
Sep 01 1999;128271;128271
Aug 01 1999;132041;132041
Jul 01 1999;132872;132872
Jun 01 1999;137271;137271
May 01 1999;130184;130184
Apr 01 1999;133518;133518
Mar 01 1999;128637;128637
Feb 01 1999;123833;123833
Jan 01 1999;127964;127964
Dec 01 1998;122923;122923
Nov 01 1998;116363;116363
Oct 01 1998;109867;109867
Sep 01 1998;101701;101701
Aug 01 1998;95728;95728
Jul 01 1998;112067;112067
Jun 01 1998;113384;113384
May 01 1998;109082;109082
Apr 01 1998;111175;111175
Mar 01 1998;110175;110175
Feb 01 1998;104934;104934
Jan 01 1998;98028;98028
Dec 01 1997;97043;97043
Nov 01 1997;95540;95540
Oct 01 1997;91462;91462
Sep 01 1997;94728;94728
Aug 01 1997;89947;89947
Jul 01 1997;95431;95431
Jun 01 1997;88514;88514
May 01 1997;84828;84828
Apr 01 1997;80134;80134
Mar 01 1997;75712;75712
Feb 01 1997;79082;79082
Jan 01 1997;78616;78616
Dec 01 1996;74074;74074
Nov 01 1996;75702;75702
Oct 01 1996;70527;70527
Sep 01 1996;68733;68733
Aug 01 1996;65199;65199
Jul 01 1996;63995;63995
Jun 01 1996;67063;67063
May 01 1996;66912;66912
Apr 01 1996;65417;65417
Mar 01 1996;64550;64550
Feb 01 1996;64043;64043
Jan 01 1996;63602;63602
Dec 01 1995;61593;61593
Nov 01 1995;60537;60537
Oct 01 1995;58150;58150
Sep 01 1995;58441;58441
Aug 01 1995;56188;56188
Jul 01 1995;56206;56206
Jun 01 1995;54475;54475
May 01 1995;53340;53340
Apr 01 1995;51471;51471
Mar 01 1995;50071;50071
Feb 01 1995;48739;48739
Jan 01 1995;47042;47042
Dec 01 1994;45927;45927
Nov 01 1994;45369;45369
Oct 01 1994;47235;47235
Sep 01 1994;46271;46271
Aug 01 1994;47549;47549
Jul 01 1994;45826;45826
Jun 01 1994;44427;44427
May 01 1994;45650;45650
Apr 01 1994;45091;45091
Mar 01 1994;44577;44577
Feb 01 1994;46714;46714
Jan 01 1994;48161;48161
Dec 01 1993;46645;46645
Nov 01 1993;46179;46179
Oct 01 1993;46783;46783
Sep 01 1993;45893;45893
Aug 01 1993;46356;46356
Jul 01 1993;44813;44813
Jun 01 1993;45053;45053
May 01 1993;45019;45019
Apr 01 1993;44019;44019
Mar 01 1993;45167;45167
Feb 01 1993;44338;44338
Jan 01 1993;43878;43878
Dec 01 1992;43571;43571
Nov 01 1992;43135;43135
Oct 01 1992;41868;41868
Sep 01 1992;41780;41780
Aug 01 1992;41403;41403
Jul 01 1992;42421;42421
Jun 01 1992;40814;40814
May 01 1992;41535;41535
Apr 01 1992;41495;41495
Mar 01 1992;40369;40369
Feb 01 1992;41270;41270
Jan 01 1992;40878;40878
Dec 01 1991;41709;41709
Nov 01 1991;37522;37522
Oct 01 1991;39245;39245
Sep 01 1991;38786;38786
Aug 01 1991;39543;39543
Jul 01 1991;38781;38781
Jun 01 1991;37116;37116
May 01 1991;38983;38983
Apr 01 1991;37534;37534
Mar 01 1991;37522;37522
Feb 01 1991;36707;36707
Jan 01 1991;34393;34393
Dec 01 1990;33022;33022
Nov 01 1990;32222;32222
Oct 01 1990;30400;30400
Sep 01 1990;30605;30605
Aug 01 1990;32256;32256
Jul 01 1990;35615;35615
Jun 01 1990;35802;35802
May 01 1990;36123;36123
Apr 01 1990;33080;33080
Mar 01 1990;33994;33994
Feb 01 1990;33189;33189
Jan 01 1990;32908;32908
Dec 01 1989;35340;35340
Nov 01 1989;34599;34599
Oct 01 1989;34036;34036
Sep 01 1989;34915;34915
Aug 01 1989;35145;35145
Jul 01 1989;34608;34608
Jun 01 1989;31798;31798
May 01 1989;32052;32052
Apr 01 1989;30964;30964
Mar 01 1989;29487;29487
Feb 01 1989;28886;28886
Jan 01 1989;29747;29747
Dec 01 1988;27772;27772
Nov 01 1988;27370;27370
Oct 01 1988;27897;27897
Sep 01 1988;27191;27191
Aug 01 1988;26152;26152
Jul 01 1988;27202;27202
Jun 01 1988;27350;27350
May 01 1988;26216;26216
Apr 01 1988;26133;26133
Mar 01 1988;25889;25889
Feb 01 1988;26782;26782
Jan 01 1988;25707;25707
Dec 01 1987;24708;24708
Nov 01 1987;23030;23030
Oct 01 1987;25179;25179
Sep 01 1987;32183;32183
Aug 01 1987;32980;32980
Jul 01 1987;31866;31866
Jun 01 1987;30400;30400
May 01 1987;29010;29010
Apr 01 1987;28836;28836
Mar 01 1987;29170;29170
Feb 01 1987;28420;28420
Jan 01 1987;27408;27408
Dec 01 1986;24217;24217
Nov 01 1986;24922;24922
Oct 01 1986;24398;24398
Sep 01 1986;23132;23132
Aug 01 1986;25293;25293
Jul 01 1986;23612;23612
Jun 01 1986;25084;25084
May 01 1986;24735;24735
Apr 01 1986;23552;23552
Mar 01 1986;23890;23890
Feb 01 1986;22692;22692
Jan 01 1986;21178;21178
Dec 01 1985;21128;21128
Nov 01 1985;20217;20217
Oct 01 1985;18982;18982
Sep 01 1985;18208;18208
Aug 01 1985;18863;18863
Jul 01 1985;19092;19092
Jun 01 1985;19185;19185
May 01 1985;18955;18955
Apr 01 1985;17983;17983
Mar 01 1985;18066;18066
Feb 01 1985;18118;18118
Jan 01 1985;17963;17963
